review_body,review_topics,review_votes,sentiment,review_helpfulness
"I bought this Compaq A1500 this week and am more than satisfied with it. Simple installation without any problems, excellent photo quality resolution even on plain paper, very good managing software and the best part is, I didn't need any customer support to make it run :). Very good product with excellent features, quality and resolution. Believe me it's better than the best available in this price range.",['For the price'],10,Positive,0.9974933333333332
"I bought the A1500 based on the Compaq name and the excellent results I`ve had with their other products, however I started having problems immediatly, it just would not work. When I called Tech support, I was informed that it was not campatible with my operating system. When I pointed out I was using Win 98se on a Compaq comupter they tried to help. I was able to finally get it installed after being on the phone with Tech Support for almost 2 hours. It worked for one day then quit printing. When I again called Tech Support and spent another hour on the phone the printer finally started working but the Scanner quit. As I was buying a second computer with Win XP I asked if it would be compatible and was assured that it was. When I was ready to install the A1500 on the new computer, I called Tech Support and they taslked me through the whole process. Not only would it not install it crashed my system and I had to do a full restore. As I waited to long to return it, it is now seating on a shelf collecting dust until I can find someone who will take it off my hands. In the mean time I`m still looking for a good multifunction that will work as advertised. I would not recommend the A1500 to anyone who does not have money and time to waste.","['Compaq A1500', 'excellent print', 'lesser mean time', 'multifunctioning']",8,Positive,0.998390909090909
"I picked this old Compaq A1500 up at a yard sale. It was so filthy and plugged with old ink I figured it was shot. But after disassembling it and cleaning the innards good, it went to working after I installed two new cartridges. I use Windows XP and havent had any problems with this printer, unlike my old Lexmark X83. I wont even go there. Overall a decent printer.","['Compaq A1500', 'Windows XP']",0,Positive,0.8215846848293458
"The A1500 was the first multifunctional I've used.  I purchase one in 2001 for about $100. Overall, it was a decent machine before it began to die. It takes two ink cartridges, Lexmark black-12A1970 ($25-$32) and Lexmark color-12A1985 ($29-$39).  The ink seemed to last for a good while.  However, if you don't use the cartridges in a while, the ink will dry up (this is what happened to my color cartridge a few times). When I first purchased it, I thought the design was great, but as I needed copies and scans of different items, I changed my mind.  The copier/scanner is operated via a feeder instead of being a flatbed.  I couldn't scan a page from a book or magazine (unless I wanted to rip out the page and feed it to the machine).  It was also somewhat difficult to make copies of smaller items such as cards, IDs or pictures, even with the protective sleeve that is included with this model. Before Compaq was bought out by HP, there was Compaq Customer Communities where consumers could post questions and give answers to one another (I had an alignment problem with this unit that was easily solved by a visit to Customer Communities).  Unfortunately, HP removed the community.  I guess it's a good thing I got the 3 year warranty from Circuit City.  After about a year and a half, the scanner and copier started to act up.  I would no longer get clean scans/copies, and it would use two 8.5' x 11' pages to copy a single document with the same dimensions.  Customer Service couldn't help with the problem","['inexpensive', 'colorful', 'flatbed machine', 'community support', 'HP,']",0,Negative,0.5116200000000001
"I bought this machine without realizing that it is not compatable with the original Windows 98. It worked fine for a couple weeks, but will no longer print properly. I have tried to correct this problem to no avail, I've even sent it back to Compaq!! On my third call to tech support, I was told that on one of the pages inside the manual it states that this is a 'Known issue' and that I must have 'Windows 98 Second Edition' for their product to work. This vital information should be prominatly noted in the advertising. I am very dissappointed!'","['Windows 98', 'Windows 98 Second Edition']",6,Negative,0.8661555555555556
review_body,review_topics,review_votes,sentiment,review_helpfulness
"We've only had the computer for a week or so, but I've been very impressed.  The case really does feel wonderful, and the screen is quite bright (and the weight is terrific for traveling!).  I was worried that the 10.1' screen would be a bit small for my wife (main user of the machine","['bright screen', 'traveling']",0,Positive,0.8349344689841868
review_body,review_topics,review_votes,sentiment,review_helpfulness
"Purchased the ASUS F80Q-X2AM 14.1 inch laptop and have found it to be one sweet and powerful laptop.  Fast, reliable and easy connectivity.  Leaves my desktop in the smoke.  Great product at a great price ($614.70).","['ASUS F80Q-X2AM', 'powerful', 'great product']",2,Positive,1.0
"A powerful, well constructed notebook that provides some useful new features.  So far it has performed well and runs my most demanding applications with no problems.  I particularly like the compactness of the 14.1 inch display and the keyboard has an excellent feel to it.  Things I don't like are the poor speaker sound quality and positioning, the highly reflective display, the Vista user interface, and the lack of a true display mechanical latch.  It would have been nice to have had a CF memory card reader.  This product comes from Amazon with a free upgrade to Windows 7, a nice carry case and a useable optical mouse.","['14.1 inch display', 'Windows 7', 'carry case', 'optical mouse', 'reflective display', 'vista user interface', 'no CF memory card reader']",4,Positive,1.0
"After having been impressed with the ASUS EeePC 901 for the last year, I decided to buy a bigger ASUS laptop as a gift for one of my kids. I ended up getting the F80Q-X2AM because it's bigger than a netbook but it's not really big. The 14.1 inch screen and full sized keyboard are just what I was looking for. This laptop has everything you could want: DVD player, webcam, big hard drive, lots of RAM, memory card reader, wireless network card, bluetooth, decent carrying case.  Good stuff. On top of that, the 2-year warranty, accidental damage protection, and spill-proof keyboard are really nice, especially for a laptop going to a young kid. The only thing I don't like about this laptop is the operating system. Windows Vista is for the birds, and I'm not just saying that. I've had bad experiences with Vista in the past, so I'm biased negatively with respect to Vista. On the other hand, I used to work at Microsoft and I like the company a lot. But when it takes 3 hours to get connected to a wireless network, you know you're using a crummy operating sytem. Specifically, I encountered the infamous 'unidentified network' problem which millions of others have likely experienced over the last couple of years with Vista. Although there's seemingly no sure fire way to fix the problem","['ASUS laptop', 'full sized keyboard', 'hard drive', 'wireless network card', 'warranty support', 'spill-proof keyboard', 'crummy operating sytem']",0,Negative,0.64085
review_body,review_topics,review_votes,sentiment,review_helpfulness
"Unfortunately this laptop has blue-screened more times than I care to list in the time that I've had it.  To be fair, I suspect that this is probably more of a software issue courtesy of our wonderful friends at Microsoft (can you say 'Vista'?)","['blue-screens', 'vista']",0,Positive,0.7975200000000001
review_body,review_topics,review_votes,sentiment,review_helpfulness
"I usually buy the high end little sonys and am usually not that price sensitive.  This laptop is fantastic and I leave the sonys at home now.  Beautiful LCD screen, fantastic solid keyboard (backlit which is a feature I will never give up after this) and good size and weight for the screen size.  Also excellent battery life.  I usually go through two laptops a year, but I cant think of any of the latest gear out there that would tempt me right now and Ive researched them all at all prices.  The price is low on this ASUS, which almost scared me away for concerns about quality, but no concern there at all.  Very solid fast machine.","['sony laptops', 'asus', 'good battery life']",3,Negative,0.9349625000000001
review_body,review_topics,review_votes,sentiment,review_helpfulness
I have had this notebook for just about 4 years. The first year was spent RMAing it. Then finally I had a working laptop. The battery life was 3hrs on power saver doing things such web browsing and typing. Then one year ago the hard drive failed. So I replaced it. Now after 4 years of cleaning dust and replacing thermal paste it still works.,"['rma', 'battery life', 'hard drive failed', 'thermal paste', 'web browsing']",0,Negative,0.6414727272727273
"REVISION:  I've now had this computer for 5 months and I'd like to revise my earlier review.  The notebook was fantastic until the power supply issues began.  I've RMA'd the product back to Asus.  However, they've had it for more than 3 weeks and are still waiting for parts.  I can't imagine why they don't have parts on hand for a computer this recently manufactured.  When I looked for a way to contact the company about my frustration at how long it's taking to get my computer returned, I realize that no addresses or 'contact us' types of information is supplied on their unbelievably BAD website.  When I call the customer service number given me with my RMA information","['Asus', 'power supply issues', ""RMA'd"", 'bad website']",0,Negative,0.6683400000000002
